bedrooms,bathrooms,floors,yr_built,price
3,1.0,1.0,1955,2219000.0
3,2.25,2.0,1951,5380000.0
2,1.0,1.0,1933,1800000.0
4,3.0,1.0,1965,6040000.0
3,2.0,1.0,1987,5100000.0
4,4.5,1.0,2001,12250000.0
3,2.25,2.0,1995,2575000.0
3,1.5,1.0,1963,2918500.0
3,1.0,1.0,1960,2295000.0
3,2.5,2.0,2003,3230000.0
3,2.5,1.0,1965,6625000.0
2,1.0,1.0,1942,4680000.0
3,1.0,1.5,1927,3100000.0
3,1.75,1.0,1977,4000000.0
5,2.0,1.5,1900,5300000.0
4,3.0,2.0,1979,6500000.0
3,2.0,2.0,1994,3950000.0
4,1.0,1.5,1916,4850000.0
2,1.0,1.0,1921,1890000.0
3,1.0,1.0,1969,2300000.0
4,1.75,1.0,1947,3850000.0
3,2.75,1.0,1968,20000000.0
5,2.5,2.0,1995,2850000.0
2,1.5,1.0,1985,2527000.0
3,2.25,2.0,1985,3290000.0
3,2.0,1.5,1941,2330000.0
3,1.75,2.0,1915,9370000.0
3,1.0,1.5,1909,6670000.0
3,1.75,1.0,1948,4380000.0
4,2.5,2.0,2005,7190000.0
3,2.5,2.0,2003,5805000.0
2,1.5,3.0,2005,2800000.0
4,1.75,1.5,1929,6875000.0
3,1.0,1.5,1929,5350000.0
4,2.75,1.0,1981,3225000.0
3,2.5,1.5,1930,6960000.0
4,1.0,1.0,1933,5500000.0
4,2.0,2.0,1904,6400000.0
4,1.0,1.0,1969,2400000.0
4,2.5,2.0,1996,6050000.0
4,2.5,2.0,2000,6250000.0
4,2.25,1.0,1984,7750000.0
5,2.75,2.0,2014,8619900.0
3,1.0,2.0,1922,6850000.0
3,1.0,1.0,1959,3090000.0
3,2.5,2.0,2003,4880000.0
3,1.0,1.0,1966,2104900.0
4,2.5,2.0,1981,7850000.0
3,1.75,1.0,1953,4500000.0
3,2.5,1.0,1953,13500000.0
3,1.0,1.0,1955,2280000.0
5,2.5,1.0,1966,3450000.0
3,1.75,1.0,1950,6000000.0
2,1.75,1.0,1981,5850000.0
5,2.25,1.5,1927,9200000.0
4,2.5,2.0,1995,8850000.0
4,2.5,2.0,2008,2925000.0
3,2.5,2.0,2003,3010000.0
5,3.25,2.0,1968,9510000.0
4,3.0,2.0,1991,4300000.0
3,2.25,1.0,1959,6500000.0
3,1.75,1.0,1954,2890000.0
3,1.75,2.0,1973,5050000.0
3,1.75,3.0,2014,5490000.0
3,2.25,1.0,1979,4250000.0
3,2.75,1.5,1925,3176250.0
4,2.5,2.0,1989,9750000.0
4,2.5,2.0,2005,2870000.0
3,1.0,1.0,1968,2040000.0
5,2.25,1.0,1965,13250000.0
5,3.25,1.0,1973,10400000.0
3,2.0,1.0,1972,3250000.0
4,2.0,1.5,1916,5710000.0
4,2.5,2.0,2005,3600000.0
3,1.75,1.0,1965,3490000.0
4,4.0,2.0,1986,8325000.0
4,1.75,1.0,1956,3800000.0
3,1.0,1.0,1941,4800000.0
3,1.0,1.0,1956,4100000.0
4,2.5,2.0,2002,7200000.0
3,2.5,2.0,2003,3900000.0
4,2.5,2.0,1992,3600000.0
2,1.0,1.0,1948,3550000.0
3,1.5,1.0,1964,3560000.0
3,1.0,1.0,1952,3150000.0
3,1.5,2.0,1925,9400000.0
5,2.25,1.5,1961,3050000.0
3,3.25,2.0,2006,4610000.0
